Product,Price,GBs
"realme C31 (Dark Green, 32 GB)",9299, 32 GB
"realme C31 (Light Silver, 32 GB)",9299, 32 GB
"realme C31 (Dark Green, 64 GB)",9999, 64 GB
"realme C31 (Light Silver, 64 GB)",9999, 64 GB
"realme C11 2021 (Cool Grey, 32 GB)",7499, 32 GB
"POCO C31 (Royal Blue, 64 GB)",9999, 64 GB
"realme C11 2021 (Cool Blue, 32 GB)",7499, 32 GB
"realme C11 2021 (Cool Blue, 64 GB)",8999, 64 GB
"realme C11 2021 (Cool Grey, 64 GB)",8999, 64 GB
"POCO C31 (Royal Blue, 32 GB)",8999, 32 GB
"POCO M3 Pro 5G (Yellow, 128 GB)",12499,128 GB
"POCO C31 (Shadow Gray, 64 GB)",9999, 64 GB
"REDMI Note 10T 5G (Mint Green, 64 GB)",11999, 64 GB
"MOTOROLA G60 (Moonless, 128 GB)",15999,128 GB
"MOTOROLA e40 (Carbon Gray, 64 GB)",9999, 64 GB
"REDMI Note 10T 5G (Chromium White, 64 GB)",11999, 64 GB
"MOTOROLA G60 (Dynamic Gray, 128 GB)",15999,128 GB
"REDMI Note 10T 5G (Graphite Black, 64 GB)",11999, 64 GB
"realme C35 (Glowing Green, 64 GB)",11999, 64 GB
"REDMI Note 10T 5G (Mint Green, 128 GB)",13999,128 GB
"REDMI Note 10T 5G (Graphite Black, 128 GB)",13999,128 GB
"REDMI Note 10T 5G (Chromium White, 128 GB)",13999,128 GB
"POCO M3 Pro 5G (Yellow, 64 GB)",14499, 64 GB
"realme C35 (Glowing Black, 64 GB)",11999, 64 GB
